site,id,title,dateArrive,dateDepart,localisation,prix,avis,nombreNuits,images
expedia,"New York","The Langham, New York, Fifth Avenue",2021-02-14,2021-02-08,Midtown East,1 914 €,"4,7 sur 5 Exceptionnel (1 003 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/4000000/3630000/3630000/3629903/203e075e.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"New York",1 Hotel Central Park,2021-02-14,2021-02-08,Centre-ville de New York City,1 617 €,"4,6 sur 5 Merveilleux (1 014 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/10000000/9220000/9215600/9215515/3d65351f.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"New York","The Beekman, A Thompson Hotel",2021-02-14,2021-02-08,New York,1 410 €,"4,6 sur 5 Merveilleux (724 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/13000000/12080000/12078200/12078123/39995998.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"New York",Baccarat Hotel and Residences New York,2021-02-14,2021-02-08,Centre-ville de New York City,2 741 €,"4,6 sur 5 Merveilleux (225 avis)",pour 6 nuits,
expedia,"New York","The Pierre, A Taj Hotel, New York",2021-02-14,2021-02-08,Lenox Hill,2 690 €,"4,7 sur 5 Exceptionnel (985 avis)",pour 6 nuits,
expedia,"New York",Mr. C Seaport,2021-02-14,2021-02-08,New York,1 608 €,"4,5 sur 5 Merveilleux (185 avis)",pour 6 nuits,
expedia,"New York",Trump International Hotel & Tower New York,2021-02-14,2021-02-08,New York,3 089 €,"4,6 sur 5 Merveilleux (994 avis)",pour 6 nuits,
expedia,"New York",The Lowell,2021-02-14,2021-02-08,Upper East Side,3 608 €,"4,7 sur 5 Exceptionnel (138 avis)",pour 6 nuits,
expedia,"New York",The NoMad Hotel,2021-02-14,2021-02-08,New York,1 712 €,"4,6 sur 5 Merveilleux (682 avis)",pour 6 nuits,
expedia,"New York",The Mark,2021-02-14,2021-02-08,Lenox Hill,3 695 €,"4,8 sur 5 Exceptionnel (581 avis)",pour 6 nuits,
expedia,"New York",Four Seasons Hotel New York Downtown,2021-02-14,2021-02-08,New York,2 975 €,"4,8 sur 5 Exceptionnel (245 avis)",pour 6 nuits,
expedia,"New York",The Towers at Lotte New York Palace,2021-02-14,2021-02-08,Midtown East,3 557 €,"4,6 sur 5 Merveilleux (405 avis)",pour 6 nuits,
expedia,"New York","The Carlyle, A Rosewood Hotel",2021-02-14,2021-02-08,Lenox Hill,3 353 €,"4,6 sur 5 Merveilleux (608 avis)",pour 6 nuits,
expedia,"New York",Equinox Hotel New York,2021-02-14,2021-02-08,New York,4 406 €,"4,6 sur 5 Merveilleux (93 avis)",pour 6 nuits,
expedia,"New York",Conrad New York Downtown,2021-02-14,2021-02-08,New York,1 703 €,"4,7 sur 5 Exceptionnel (1 003 avis)",pour 6 nuits,
expedia,"New York",1 Hotel Brooklyn Bridge,2021-02-14,2021-02-08,Brooklyn,1 770 €,"4,5 sur 5 Merveilleux (905 avis)",pour 6 nuits,
expedia,"Tokyo",Park Hyatt Tokyo,2021-02-07,2021-02-01,Tokyo,2 905 €,"4,8 sur 5 Exceptionnel (778 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/1000000/970000/970000/969939/be750274.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"Tokyo",Mandarin Oriental Tokyo,2021-02-07,2021-02-01,Tokyo,2 098 €,"4,7 sur 5 Exceptionnel (216 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/2000000/1350000/1340800/1340774/1cac373c.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"Tokyo",The Peninsula Tokyo,2021-02-07,2021-02-01,Tokyo,1 967 €,"4,7 sur 5 Exceptionnel (751 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/2000000/1640000/1631500/1631412/becd19fb.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"New York","The Langham, New York, Fifth Avenue",2021-02-07,2021-02-01,Midtown East,1 914 €,"4,7 sur 5 Exceptionnel (1 003 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/4000000/3630000/3630000/3629903/203e075e.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"Tokyo","Shangri-La Hotel, Tokyo",2021-02-07,2021-02-01,Tokyo,2 179 €,"4,7 sur 5 Exceptionnel (418 avis)",pour 6 nuits,
expedia,"Tokyo",Andaz Tokyo Toranomon Hills - a concept by Hyatt,2021-02-07,2021-02-01,Tokyo,2 109 €,"4,7 sur 5 Exceptionnel (404 avis)",pour 6 nuits,
expedia,"New York",1 Hotel Central Park,2021-02-07,2021-02-01,Centre-ville de New York City,1 391 €,"4,6 sur 5 Merveilleux (1 014 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/10000000/9220000/9215600/9215515/3d65351f.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
expedia,"New York","The Beekman, A Thompson Hotel",2021-02-07,2021-02-01,New York,1 410 €,"4,6 sur 5 Merveilleux (724 avis)",pour 6 nuits,",https://images.trvl-media.com/hotels/13000000/12080000/12078200/12078123/39995998.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
